policy_age_days,policy_type,customer_age,claim_amount,insured_amount,premium_amount,previous_claims,claim_type,incident_type,incident_severity,witness_present,police_report,claim_submission_delay,property_damage,bodily_injuries,vehicles_involved,state,claim_month,fraud_reported
3179,Auto,46,23852.79,50000,539.51,1,Theft,Theft,Minor,Yes,Yes,0,Yes,1,0,IL,March,0
3512,Auto,30,8015.25,25000,488.32,0,Collision,Multi-Vehicle Collision,Minor,No,Yes,6,No,0,2,IL,October,1
865,Auto,35,1728.53,25000,453.31,1,Collision,Single Vehicle Collision,Total Loss,No,Yes,2,No,4,1,FL,May,0
1299,Auto,19,26490.39,100000,1024.24,1,Collision,Multi-Vehicle Collision,Minor,No,Yes,8,No,0,3,FL,December,0
1135,Auto,46,15589.07,50000,597.5,2,Fire,Fire,Total Loss,No,No,6,No,1,0,FL,September,0
1100,Commercial,38,10215.47,50000,588.04,3,Fire,Fire,Major,No,No,2,Yes,1,0,FL,July,1
3097,Auto,32,53295.08,50000,567.46,1,Fire,Fire,Total Loss,No,No,10,Yes,3,0,TX,April,1
1643,Home,69,15206.79,50000,585.85,1,Collision,Single Vehicle Collision,Minor,No,Yes,1,No,1,1,IL,August,1
2174,Auto,44,25803.91,250000,2197.63,3,Fire,Water Damage,Total Loss,No,Yes,15,No,0,0,TX,December,0
471,Commercial,67,31533.61,500000,4131.28,0,Collision,Multi-Vehicle Collision,Minor,No,No,6,Yes,2,2,FL,April,0
1243,Auto,48,15434.65,50000,558.99,0,Theft,Theft,Major,No,Yes,20,No,0,0,TX,June,1
335,Auto,32,70850.35,250000,2094.4,2,Theft,Theft,Minor,No,Yes,0,Yes,0,0,IL,December,0
1487,Commercial,68,49847.63,100000,1003.9,0,Collision,Multi-Vehicle Collision,Minor,No,No,1,Yes,3,2,IL,January,0
2140,Commercial,40,9049.92,50000,603.91,0,Theft,Theft,Major,No,Yes,6,No,0,0,FL,June,1
