policy_age_days,policy_type,customer_age,claim_amount,insured_amount,premium_amount,previous_claims,claim_type,incident_type,incident_severity,witness_present,police_report,claim_submission_delay,property_damage,bodily_injuries,vehicles_involved,state,claim_month,fraud_reported
2490,Auto,78,11617.53,100000,1002.35,0,Collision,Multi-Vehicle Collision,Minor,No,No,4,No,0,2,NY,March,1
1224,Commercial,67,5891.39,10000,243.4,2,Theft,Theft,Major,No,Yes,6,Yes,0,0,FL,September,0
3623,Auto,53,74199.41,250000,2209.73,0,Collision,Multi-Vehicle Collision,Minor,Yes,Yes,0,No,3,4,FL,July,0
2784,Auto,42,12134.54,25000,429.45,0,Collision,Single Vehicle Collision,Minor,No,No,2,Yes,1,1,CA,June,0
1897,Commercial,53,3843.24,25000,326.99,0,Collision,Multi-Vehicle Collision,Major,No,Yes,0,No,0,3,TX,May,0
2041,Commercial,37,27605.82,50000,579.3,2,Fire,Fire,Minor,No,Yes,5,No,0,0,FL,December,0
1150,Commercial,50,29998.91,100000,1004.15,0,Collision,Multi-Vehicle Collision,Minor,Yes,No,2,Yes,1,3,IL,January,0
2146,Home,37,4137.82,25000,441.82,0,Collision,Multi-Vehicle Collision,Minor,No,No,1,No,2,4,IL,September,0
1013,Auto,42,9334.74,25000,480.95,0,Collision,Single Vehicle Collision,Major,No,Yes,6,No,0,1,TX,April,0
1602,Commercial,47,47870.48,50000,557.13,1,Collision,Multi-Vehicle Collision,Minor,No,Yes,4,Yes,0,4,IL,July,1
1087,Auto,33,545298.01,500000,4205.35,0,Theft,Theft,Minor,No,Yes,14,Yes,4,0,NY,March,1
1586,Home,50,6219.72,50000,566.99,0,Fire,Fire,Major,No,Yes,8,Yes,2,0,CA,March,1
3239,Commercial,71,6914.63,50000,611.97,0,Collision,Single Vehicle Collision,Minor,Yes,Yes,2,Yes,0,1,TX,August,0
3123,Auto,23,84649.65,100000,1057.71,0,Collision,Multi-Vehicle Collision,Minor,No,No,1,Yes,3,3,IL,July,0
899,Auto,62,943.63,10000,295.44,0,Collision,Multi-Vehicle Collision,Major,No,Yes,3,No,0,3,NY,September,1
3504,Home,70,4705.23,25000,332.21,1,Collision,Multi-Vehicle Collision,Minor,No,Yes,4,Yes,0,4,NY,April,0
2924,Auto,30,14888.69,25000,372.2,0,Fire,Fire,Minor,No,Yes,0,Yes,0,0,CA,February,0
1064,Home,22,82385.33,250000,2162.67,0,Collision,Multi-Vehicle Collision,Major,No,Yes,0,No,0,3,CA,November,0
2890,Home,77,10104.64,50000,601.72,3,Fire,Fire,Minor,No,No,2,Yes,0,0,NY,June,1
